@@,name,position
+++,Ms. Uma Regmi,"Minister of Women, Children and Senior Citizens"
+++,Ms. Shashi Shrestha,"Minister of Land Management, Cooperatives and Poverty Alleviation"
+++,Ms. Renu Kumari Yadav,Minister of Physical Infrastructure and Transport
+++,Ms. Ram Kumari Jhakri,Minister of Urban Development
+++,Ms. Pampha Bhusal,"Minister of Energy, Water Resources and Irrigation"
+++,Ms. Bodhmaya Kumari Yadav,"State Minister: Education, Science and Technology"
+++,Mr. Umesh Shrestha,State Minister: Office of the Prime Minister and council of Ministers
+++,Mr. Umakanta Chaudhari,Minister of Water Supply
+++,Mr. Sher Bahadur Deuba,Prime Minister
+++,Mr. Sher Bahadur Deuba,"Minister of Industry, Commerce and Supplies"
+++,Mr. Ramsahay Prasad Yadav,Minister of Forests and Environment
+++,Mr. Rajendra Prasad Shrestha,Minister of Federal Affairs and General Administration
+++,Mr. Prem Bahadur Ale,"Minister of Culture, Tourism and Civil Aviation"
+++,Mr. Maheshwar Jung Gahatraj (Aathak),Minister of Youth and Sports
+++,Mr. Mahendra Rai Yadav,Minister of Agriculture and Livestock Development
+++,Mr. Krishna Kumar Shrestha,"Minister of Labor, Employment and Social Security"
+++,Mr. Janardan Sharma,Minister of Finance
+++,Mr. Gyanendra Bahadur Karki,Minister of Communications and Information Technology
+++,Mr. Dilendra Prasad Badu,"Minister of Law, Justice and Parliamentary Affairs"
+++,Mr. Devendra Paudel,"Minister of Education, Science and Technology"
+++,Mr. Birodh Khatiwada,Minister of Health and Population
+++,Mr. Bhawani Prasad Khapung,State Minister: Health and Population
+++,Mr. Bal Krishna Khand,Minister of Home Affairs
+++,Dr. Narayan Khadka,Minister of Foreign Affairs
+++,Dr. Minendra Prasad Rijal,Minister of Defense
